SEASON,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,TOTAL
1869,0,0,0,0,0,5.3,1.1,9.3,9.6,2.5,0,0,27.8
1870,0,0,0,0,0,3,15.9,12.1,0.1,2,0,0,33.1
1871,0,0,0,0,0.3,3.9,1.8,3,5.1,T,0,0,14.1
1872,0,0,0,0,3.5,27,10.6,18.8,0.4,0,0,0,60.3
1873,0,0,0,0,2,9.3,6.6,19,T,0,0,0,36.9
1874,0,0,0,0,0,10,14.5,4.5,15.3,13.5,0,0,57.8
1875,0,0,0,0,0,0.5,1.5,12.5,3.8,0,0,0,18.3
1876,0,0,0,0.5,0.1,12.4,20.5,0.4,6.5,0,0,0,40.4
1877,0,0,0,0,0,0,6.1,2,0,0,0,0,8.1
1878,0,0,0,0,0.1,5.5,17.3,11.3,1.5,0,0,0,35.7
1879,0,0,0,0,2.5,5.4,2.5,4,8.3,0,0,0,22.7
1880,0,0,0,0,1.4,11.5,11.5,8.8,2.3,0,0,0,35.5
1881,0,0,0,0,T,1.3,17.5,9.3,2.8,0.5,0,0,31.4
1882,0,0,0,0,14,T,9.4,10.1,10,0.5,0,0,44
1883,0,0,0,0,0,22.5,10.3,8,2.3,0,0,0,43.1
1884,0,0,0,0,0.4,10.6,4.6,14.5,4.1,T,0,0,34.2
1885,0,0,0,0,0,T,13.5,5.3,1,1,0,0,20.8
1886,0,0,0,0,T,10.3,6.6,9,2,5,0,0,32.9
1887,0,0,0,0,0.3,9,11,3,22.3,0,0,0,45.6
1888,0,0,0,0,1.5,T,4,7,4,0,0,0,16.5
1889,0,0,0,0,0,6,0,1,17,0.3,0,0,24.3
1890,0,0,0,0,0,11.4,10,5.3,2.1,T,0,0,28.8
1891,0,0,0,0,0,T,12.3,0.1,12,1,0,0,25.4
1892,0,0,0,0,6.3,3,16,17.8,6.1,0.5,0,0,49.7
1893,0,0,0,0,0,5.3,9.3,20.5,0,1,0,0,36.1
1894,0,0,0,0,0.5,4,9.5,9,4,T,0,0,27
1895,0,0,0,0,0,0.3,3,9.5,30.5,3,0,0,46.3
1896,0,0,0,0,5,13,11.3,11,3.3,0,0,0,43.6
1897,0,0,0,0,2.3,4,9,1.3,2,2.5,0,0,21.1
1898,0,0,0,0,19,1.5,5.3,25.3,4.8,0,0,0,55.9
1899,0,0,0,0,T,0.1,1,6.5,5.8,0,0,0,13.4
1900,0,0,0,0,0,0.1,2,7,T,0,0,0,9.1
1901,0,0,0,0,0.1,1.5,6.1,15.8,6.5,0,0,0,30
1902,0,0,0,0,0,14.4,4.5,9.8,0,0,0,0,28.7
1903,0,0,0,0,0,6.3,15.6,5,5.4,T,0,0,32.3
1904,0,0,0,0,0.5,21.6,18.4,5.8,1.8,0,0,0,48.1
1905,0,0,0,0,0,1,1.5,6,11.5,0,0,0,20
1906,0,0,0,0,1,0.3,11,21.8,13.3,5.8,0,0,53.2
1907,0,0,0,0,T,5.3,10,14.6,3.5,0,0,0,33.4
1908,0,0,0,0,1,2.9,11.3,0.8,4.3,T,0,0,20.3
1909,0,0,0,0,0.8,9,11.1,5,1.3,0,0,0,27.2
1910,0,0,0,0,T,6.6,1.3,13.3,3.5,0.5,0,0,25.2
1911,0,0,0,0,1,8.5,13,2.5,4.5,T,0,0,29.5
1912,0,0,0,0,0.8,11.4,0.3,2.6,0.2,T,0,0,15.3
1913,0,0,0,0,T,0.3,1.3,17.4,21.5,T,0,0,40.5
1914,0,0,0,0,0,2.6,3.8,4.5,7.7,10.2,0,0,28.8
1915,0,0,0,0,T,8.1,0.7,13.1,25.5,3.3,0,0,50.7
1916,0,0,0,0,T,14.5,5.8,12.2,11.7,6.5,0,0,50.7
1917,0,0,0,0,0.3,14.1,13.2,3.7,0.6,2.6,0,0,34.5
1918,0,0,0,0,0,0.3,0.3,0.5,2.7,T,0,0,3.8
1919,0,0,0,0,T,8.8,8.2,25.3,5.3,T,0,0,47.6
